datetime,pBuy,pSell
2024.01.02 14:00,0.0,0.6977
2024.01.02 14:15,0.0,0.7477
2024.01.02 14:30,0.0,0.6977
2024.01.02 16:30,0.82,0.0
2024.01.02 16:45,0.87,0.0
2024.01.02 17:00,0.82,0.0
2024.01.03 09:15,0.7506,0.0
2024.01.03 09:30,0.8006,0.0
2024.01.03 09:45,0.7506,0.0
2024.01.05 08:00,0.0,0.7477
2024.01.05 08:15,0.0,0.7977
2024.01.05 08:30,0.0,0.7477
2024.01.05 09:15,0.0,0.82
2024.01.05 09:30,0.0,0.87
2024.01.05 09:45,0.0,0.82
2024.01.05 15:30,0.76,0.0
2024.01.05 15:45,0.81,0.0
2024.01.05 16:00,0.76,0.0
2024.01.08 11:15,0.7349,0.0
2024.01.08 11:30,0.7849,0.0
2024.01.08 11:45,0.7349,0.0
2024.01.09 10:00,0.0,0.82
2024.01.09 10:15,0.0,0.87
2024.01.09 10:30,0.0,0.82
2024.01.09 23:45,0.6703,0.0
2024.01.10 01:00,0.7203,0.0
2024.01.10 01:15,0.6703,0.0
2024.01.10 09:00,0.7508,0.0
2024.01.10 09:15,0.8008,0.0
2024.01.10 09:30,0.8037,0.0
2024.01.10 09:45,0.7537,0.0
2024.01.10 14:30,0.0,0.77
2024.01.10 14:45,0.0,0.82
2024.01.10 15:00,0.0,0.77
2024.01.15 13:15,0.7933,0.0
2024.01.15 13:30,0.8433,0.0
2024.01.15 13:45,0.7933,0.0
2024.01.17 09:30,0.76,0.0
2024.01.17 09:45,0.81,0.0
2024.01.17 10:00,0.76,0.0
2024.01.17 15:00,0.0,0.8085
2024.01.17 15:15,0.0,0.8585
2024.01.17 15:30,0.0,0.8085
2024.01.18 15:00,0.0,0.8004
2024.01.18 15:15,0.0,0.8504
2024.01.18 15:30,0.0,0.8004
2024.01.19 08:00,0.8134,0.0
2024.01.19 08:15,0.8634,0.0
2024.01.19 08:30,0.8134,0.0
2024.01.19 08:45,0.7534,0.0
2024.01.19 09:00,0.8034,0.0
2024.01.19 09:15,0.7534,0.0
2024.01.19 09:45,0.0,0.7519
2024.01.19 10:00,0.0,0.8019
2024.01.19 10:15,0.0,0.7519
2024.01.19 23:45,0.0,0.7313
2024.01.22 01:00,0.0,0.7813
2024.01.22 01:15,0.0,0.7313
2024.01.22 10:30,0.0,0.7401
2024.01.22 10:45,0.0,0.7901
2024.01.22 11:00,0.0,0.7401
2024.01.22 14:15,0.7679,0.0
2024.01.22 14:30,0.8179,0.0
2024.01.22 14:45,0.7679,0.0
2024.01.22 15:00,0.0,0.7799
2024.01.22 15:15,0.0,0.7299
2024.01.22 16:45,0.82,0.0
2024.01.22 17:00,0.87,0.0
2024.01.22 17:15,0.82,0.0
2024.01.23 15:30,0.0,0.7033
2024.01.23 15:45,0.0,0.7533
2024.01.23 16:00,0.0,0.7033
2024.01.24 23:45,0.76,0.0
2024.01.25 01:00,0.81,0.0
2024.01.25 01:15,0.76,0.0
2024.01.25 09:00,0.76,0.0
2024.01.25 09:15,0.81,0.0
2024.01.25 09:30,0.76,0.0
2024.01.25 09:45,0.0,0.87
2024.01.25 10:00,0.0,0.82
2024.01.26 11:15,0.7973,0.0
2024.01.26 11:30,0.8473,0.0
2024.01.26 11:45,0.7973,0.0
2024.01.26 22:00,0.731,0.0
2024.01.26 22:15,0.781,0.0
2024.01.26 22:30,0.7953,0.0
2024.01.26 22:45,0.7453,0.0
2024.01.29 16:15,0.0,0.76
2024.01.29 16:30,0.0,0.81
2024.01.29 16:45,0.0,0.76
2024.01.29 22:00,0.77,0.0
2024.01.29 22:15,0.82,0.0
2024.01.29 22:30,0.77,0.0
2024.01.31 08:15,0.0,0.7446
2024.01.31 08:30,0.0,0.7946
2024.01.31 08:45,0.0,0.7446
2024.01.31 09:00,0.77,0.0
2024.01.31 09:15,0.82,0.0
2024.01.31 09:30,0.77,0.0
2024.02.01 10:15,0.82,0.0
2024.02.01 10:30,0.87,0.0
2024.02.01 10:45,0.82,0.0
2024.02.01 13:00,0.8,0.0
2024.02.01 13:15,0.85,0.0
2024.02.01 13:30,0.8,0.0
2024.02.01 15:00,0.0,0.6922
2024.02.01 15:15,0.0,0.7422
2024.02.01 15:30,0.0,0.6922
2024.02.01 16:15,0.7461,0.0
2024.02.01 16:30,0.7961,0.0
2024.02.01 16:45,0.0,0.7805
2024.02.01 17:00,0.0,0.7305
2024.02.02 10:45,0.0,0.7086
2024.02.02 11:00,0.0,0.7586
2024.02.02 11:15,0.8493,0.0
2024.02.02 11:30,0.7993,0.0
2024.02.02 15:15,0.0,0.76
2024.02.02 15:30,0.0,0.81
2024.02.02 15:45,0.0,0.76
2024.02.02 16:00,0.0,0.71
2024.02.05 22:15,0.682,0.0
2024.02.05 22:30,0.732,0.0
2024.02.05 22:45,0.682,0.0
2024.02.06 08:00,0.0,0.82
2024.02.06 08:15,0.0,0.87
2024.02.06 08:30,0.0,0.82
2024.02.06 10:30,0.0,0.8028
2024.02.06 10:45,0.0,0.8528
2024.02.06 11:00,0.0,0.8028
2024.02.06 15:00,0.0,0.82
2024.02.06 15:15,0.0,0.87
2024.02.06 15:30,0.0,0.82
2024.02.07 09:00,0.8113,0.0
2024.02.07 09:15,0.8613,0.0
2024.02.07 09:30,0.8113,0.0
2024.02.07 16:00,0.0,0.756
2024.02.07 16:15,0.0,0.806
2024.02.07 16:30,0.0,0.756
2024.02.07 23:30,0.7995,0.0
2024.02.07 23:45,0.8495,0.0
2024.02.08 01:00,0.7995,0.0
2024.02.08 13:00,0.0,0.76
2024.02.08 13:15,0.0,0.81
2024.02.08 13:30,0.0,0.76
2024.02.12 08:00,0.6877,0.0
2024.02.12 08:15,0.7377,0.0
2024.02.12 08:30,0.6877,0.0
2024.02.12 10:30,0.0,0.82
2024.02.12 10:45,0.0,0.87
2024.02.12 11:00,0.0,0.82
2024.02.12 15:15,0.0,0.82
